,number,context,question,A,B,C,D,E,answer,context-images
0,138,"



Para colocar o pistão no motor que está sendo consertado, o dono da oficina terá de adquirir aquele que tenha o diâmetro mais próximo do que precisa.




","

Nessa condição, o dono da oficina deverá comprar o pistão de diâmetro


","68,21 mm.","68,102 mm.","68,02 mm.","68,012 mm.","68,001 mm.",E,
1,143,"


Sabe-se que a distância real, em linha reta, de uma cidade A, localizada no estado de São Paulo, a uma cidade B, localizada no estado de Alagoas, é igual a 2 000 km. Um estudante, ao analisar um mapa, verificou com sua régua que a distância entre essas duas cidades, A e B, era 8 cm.



","

Os dados nos indicam que o mapa observado pelo estudante está na escala de


",1 : 250.,1 : 2 500.,1 : 25 000.,1 : 250 000.,1 : 25 000 000.,E,
2,147,"



Para uma atividade realizada no laboratório de Matemática, um aluno precisa construir uma maquete da quadra de esportes da escola que tem 28 m de comprimento por 12 m de largura. A maquete deverá ser construída na escala de 1 : 250.




","

Que medidas de comprimento e largura, em cm, o aluno utilizará na construção da maquete?


","4,8 e 11,2","7,0 e 3,0","11,2 e 4,8","28,0 e 12,0","30,0 e 70,0",C,
3,141,"


Em 2010, um caos aéreo afetou o continente europeu, devido à quantidade de fumaça expelida por um vulcão na Islândia, o que levou ao cancelamento de inúmeros voos.
Cinco dias após o início desse caos, todo o espaço aéreo europeu acima de 6 000 metros estava liberado, com exceção do espaço aéreo da Finlândia. Lá, apenas voos internacionais acima de 31 mil pés estavam liberados.

Disponível em: http://www1.folha.uol.com.br. Acesso em: 21 abr. 2010 (adaptado).




Considere que 1 metro equivale a aproximadamente 3,3 pés.


","

Qual a diferença, em pés, entre as altitudes liberadas na Finlândia e no restante do continente europeu cinco dias após o início do caos?


",3 390 pés,9 390 pés,11 200 pés,19 800 pés,50 800 pés,C,
4,139,"









Onde M0 é o momento sísmico (usualmente estimado a partir dos registros de movimento da superfície, através dos sismogramas), cuja unidade é o dina⋅cm. O terremoto de Kobe, acontecido no dia 17 de janeiro de 1995, foi um dos terremotos que causaram maior impacto no Japão e na comunidade científica internacional. Teve magnitude MW = 7,3.

U.S. GEOLOGICAL SURVEY. Historic Earthquakes.
Disponível em: http://earthquake.usgs.gov. Acesso em: 1 maio 2010 (adaptado).



","

Mostrando que é possível determinar a medida por meio de conhecimentos matemáticos, qual foi o momento sísmico M0


","10-5,10","10-0,73","1012,00","1021,65","1027,00",E,enem-data/enem-2011/139-images/context_img_0.png
5,145,"


O consumo atingiu o maior nível da história no ano passado: os brasileiros beberam o equivalente a 331 bilhões de xícaras.

Veja. Ed. 2158, 31 mar. 2010.





Considere que a xícara citada na notícia seja equivalente a, aproximadamente, 120 mL de café. Suponha que em 2010 os brasileiros bebam ainda mais café, aumentando o consumo em 1/5 do que foi consumido no ano anterior.
 



","

De acordo com essas informações, qual a previsão mais aproximada para consumo de café em 2010?
 


",8 bilhões de litros.,16 bilhões de litros.,32 bilhões de litros.,40 bilhões de litros.,48 bilhões de litros.,E,
6,150,"







","

Em relação às edições de 2005 a 2009 da OBMEP, qual o percentual médio de medalhistas de ouro da região Nordeste?


","14,6%","18,2%","18,4%","19,0%","21,0%",C,enem-data/enem-2011/150-images/context_img_0.png
7,142,"







","

Para optar pelo terreno de maior área, que atenda às restrições impostas pela prefeitura, os moradores deverão escolher o terreno.


",1.,2.,3.,4.,5.,C,enem-data/enem-2011/142-images/context_img_0.png
8,136,"







","

Ao optar pelas medidas a e b em metros, obtêm-se, respectivamente,


","0,23 e 0,16.","2,3 e 1,6.",23 e 16.,230 e 160.,2 300 e 1 600.,B,enem-data/enem-2011/136-images/context_img_0.png
9,146,"




– Enquanto você fala ao telefone, faça agachamentos: 100 calorias gastas em 20 minutos.
– Meia hora de supermercado: 100 calorias.
– Cuidar do jardim por 30 minutos: 200 calorias.
– Passear com o cachorro: 200 calorias em 30 minutos.
– Tirar o pó dos móveis: 150 calorias em 30 minutos.
– Lavar roupas por 30 minutos: 200 calorias.






Disponível em: http://cyberdiet.terra.com.br. Acesso em: 27 abr. 2010 (adaptado).






Uma pessoa deseja executar essas atividades, porém, ajustando o tempo para que, em cada uma, gaste igualmente 200 calorias.


","

A partir dos ajustes, quanto tempo a mais será necessário para realizar todas as atividades?


",50 minutos.,60 minutos.,80 minutos.,120 minutos.,170 minutos.,B,
